CLUSTER,response,count,raw_prev_rate,urban,age_1524,age_65up,female,sindh,kpk,dirtyfuel_2011,underweight_2012,pak_bsgmi_v0a_100m_2011,asin_bsgmi,LONGITUDE,LATITUDE
57,2,1091,0.0018331805682859762,No,0.3354720439963336,0.03758020164986251,0.46837763519706693,1.0,0.0,0.48707167278827296,0.17630284739463,0.00132190939517762,0.0363660870547009,68.13112426911168,28.018479124108573
58,1,1034,0.0009671179883945841,No,0.31237911025145065,0.04448742746615087,0.655705996131528,1.0,0.0,0.395559015129255,0.155156820987733,0.0101818180897019,0.10107701742857302,68.9385698504099,27.719213542781723
59,2,1120,0.0017857142857142857,No,0.2044642857142857,0.014285714285714285,0.5571428571428572,1.0,0.0,0.684332389247812,0.16619183911086702,0.000198019797554111,0.0140724151995345,68.86702381069325,28.346219471519166
60,5,1081,0.004625346901017576,Yes,0.23589269195189638,0.01942645698427382,0.5374653098982424,0.0,0.0,0.295110425942437,0.14906131173323,0.00971193403128243,0.0987093635978766,69.36387337104843,28.36184379012568
61,2,1142,0.0017513134851138354,No,0.30297723292469353,0.07092819614711034,0.5227670753064798,0.0,0.0,0.886372364089731,0.13360462210818302,0.0202816900023272,0.142899644645067,70.55491971442716,28.632508696849843
62,3,1110,0.002702702702702703,Yes,0.3504504504504504,0.016216216216216217,0.6360360360360361,0.0,0.0,0.409510259892803,0.0992597223429242,0.00508701467835866,0.0713839202062146,66.98992518730404,25.228742858427143
63,2,1018,0.0019646365422396855,No,0.32711198428290766,0.07072691552062868,0.637524557956778,0.0,0.0,0.7331944125032459,0.0887767529456809,0.00249687888044469,0.0499895967876936,73.74638177882504,33.70248443672864
64,5,1133,0.00441306266548985,Yes,0.3318623124448367,0.03618711385701677,0.353927625772286,1.0,0.0,0.8204115023105151,0.0400783498939326,0.0,0.0,66.658727742757,30.88090615745893
65,1,1117,0.0008952551477170994,Yes,0.37242614145031333,0.03581020590868397,0.549686660698299,1.0,0.0,0.0443972830319908,0.0598115842481605,1.0,1.5707963267949,67.15385276008064,24.83350057349556
66,5,895,0.00558659217877095,Yes,0.329608938547486,0.048044692737430165,0.6122905027932961,1.0,0.0,0.23370295328621696,0.145927883132191,0.21230769004577202,0.4788609968603221,68.32744545858864,25.41431054435
67,9,1120,0.008035714285714285,No,0.27589285714285716,0.08214285714285714,0.5642857142857143,1.0,0.0,0.8991256028899491,0.13084073956303,0.00568353060725174,0.0754607902976829,68.330818758785,25.05812426781333
68,5,949,0.005268703898840885,Yes,0.3793466807165437,0.059009483667017915,0.6965226554267651,1.0,0.0,0.0196476268493145,0.0571435807121709,0.9519999980926509,1.34991561025857,67.02149864276636,24.889536396669047
69,6,1092,0.005494505494505495,No,0.2518315018315018,0.03021978021978022,0.5366300366300366,1.0,0.0,0.9200593818670609,0.25571572579198004,0.0014568157842950698,0.0381775296722651,69.49379814077172,25.353450945376128
70,7,1148,0.006097560975609756,No,0.2604529616724739,0.06620209059233449,0.5400696864111498,1.0,0.0,0.9009275349715501,0.232857179897033,0.0023952095273012198,0.0489604362406569,69.27662053212991,25.77791964496399
71,2,1057,0.001892147587511826,No,0.3301797540208136,0.03405865657521287,0.5146641438032167,1.0,0.0,0.8048454803228999,0.268790335023425,0.00208333334497487,0.0456594099164314,67.94076000466465,26.90046529199341
72,0,1060,0.0,Yes,0.2943396226415094,0.027358490566037737,0.8047169811320755,1.0,0.0,0.8462544954592858,0.166833429298957,0.0801923075475945,0.28711078549114,67.98293898445084,27.624267426984424
73,1,1157,0.000864304235090752,No,0.3362143474503025,0.03975799481417459,0.5669835782195333,1.0,0.0,0.36443244101104105,0.17393915743141503,0.0182321898757153,0.13544033506131598,68.56862552972461,27.64445036805727
74,0,1161,0.0,Yes,0.28940568475452194,0.03273040482342808,0.5874246339362619,1.0,0.0,0.555176155383834,0.19648789321465698,0.0962162162135313,0.315390137402123,68.40927662350873,28.29476720349225
75,4,1141,0.0035056967572304996,Yes,0.3347940403155127,0.02716914986853637,0.6397896581945661,1.0,0.0,0.690260003483244,0.158763628907631,0.0322689074052482,0.18061589598921898,69.29084891379011,28.019412150027694
76,2,1128,0.0017730496453900709,No,0.2703900709219858,0.09308510638297872,0.6179078014184397,0.0,0.0,0.7168162350144559,0.148761034916838,0.0123884512644427,0.11153452334472198,70.03453511415535,28.35704854319052
77,5,1081,0.004625346901017576,No,0.3404255319148936,0.03885291396854764,0.49861239592969475,0.0,0.0,0.9868640594869851,0.132617879906856,0.00101221638226176,0.0318207180008522,70.31062983757494,28.897586977788567
78,8,1086,0.007366482504604052,No,0.22283609576427257,0.07458563535911603,0.44751381215469616,0.0,0.0,0.8723184885218699,0.194583780376373,0.0130645160773589,0.11455046800357999,73.0693127723773,29.68073119214155
79,2,1035,0.001932367149758454,Yes,0.336231884057971,0.043478260869565216,0.6676328502415458,0.0,0.0,0.606302464066269,0.19199001816317302,0.330293158633507,0.61225140932987,70.65420483850545,30.03711167263351
80,3,922,0.0032537960954446853,No,0.2950108459869848,0.06616052060737528,0.5585683297180043,0.0,0.0,0.44797595085459097,0.19397388648383604,0.0603773580313479,0.24826037946146398,70.90696147387612,30.138576060656327
81,4,994,0.004024144869215292,No,0.40643863179074446,0.04225352112676056,0.6629778672032193,0.0,0.0,0.266198242326176,0.0606381816583298,0.11999999963003999,0.353741605320435,72.79290336907223,33.759902678273214
82,1,1160,0.0008620689655172414,No,0.36637931034482757,0.05517241379310345,0.5448275862068965,0.0,0.0,0.510353095439976,0.0495081989999166,0.21210083985278602,0.47860804255271205,72.47940145922297,33.95509376677184
83,3,1224,0.0024509803921568627,No,0.2679738562091503,0.10130718954248366,0.6233660130718954,0.0,0.0,0.265900475309067,0.0514046782840976,0.0588127850431558,0.24495583036605897,72.62272481065064,33.55090329613641
84,5,1051,0.004757373929590866,No,0.20837297811607994,0.08087535680304472,0.7164605137963844,0.0,1.0,0.451519821484651,0.0722520371592088,0.0428699550339994,0.20855927442987302,72.81312575239814,33.98116286322766
85,8,1246,0.006420545746388443,No,0.3017656500802568,0.0593900481540931,0.7407704654895666,0.0,1.0,0.619062254869199,0.12591400727983199,0.0160824742513834,0.127159100373416,73.35744206267975,34.34203620319412
86,9,1170,0.007692307692307693,No,0.32564102564102565,0.04188034188034188,0.6632478632478632,0.0,1.0,0.806600225836006,0.129940135478871,0.008214285597205159,0.0907572374563766,73.12421690561628,34.47695363539736
87,4,1122,0.0035650623885918,Yes,0.38146167557932265,0.025846702317290554,0.6256684491978609,0.0,1.0,0.479038131262873,0.0339930728698624,0.14929936237775598,0.39671738025880604,71.89629379507984,34.34391244836352
88,3,1162,0.0025817555938037868,Yes,0.3261617900172117,0.06798623063683305,0.6308089500860585,0.0,1.0,0.45710741139936106,0.0322922558420845,0.13837837770178502,0.38115458378110795,71.92443231347394,34.19710869989556
89,1,1114,0.0008976660682226212,No,0.3644524236983842,0.03859964093357271,0.6059245960502693,0.0,1.0,0.413320849039757,0.0306737055068347,0.180399997830391,0.438669381533283,71.8881517500856,34.176313345489945
90,1,1140,0.0008771929824561404,Yes,0.3368421052631579,0.0412280701754386,0.7473684210526316,0.0,1.0,0.37052388290444205,0.0403402652127021,0.0160260588076293,0.12693466703432502,72.1261034035923,33.92598657398097
91,0,1085,0.0,Yes,0.4930875576036866,0.023963133640552997,0.38064516129032255,0.0,1.0,0.42149606015188107,0.0341410012002735,0.8406153846245551,1.16011943503328,71.43555477774991,33.965858048509496
92,2,986,0.002028397565922921,No,0.4259634888438134,0.07809330628803246,0.5608519269776876,0.0,1.0,0.40894710983943394,0.0418624851323677,0.0242077919569882,0.156223215126857,71.34344237403954,33.51055989090557
93,2,1174,0.0017035775127768314,No,0.31175468483816016,0.10051107325383304,0.7146507666098807,0.0,0.0,0.90296046446068,0.0721572562581805,0.00231166150886085,0.0480982844586367,74.11691170522019,33.48305076274496
94,5,1058,0.004725897920604915,No,0.3988657844990548,0.04725897920604915,0.6644612476370511,0.0,0.0,0.8913963315780501,0.0889995342523534,0.00012135633413171899,0.0110164079249737,74.17583133110496,34.79109334423629
95,2,1133,0.00176522506619594,No,0.38393645189761694,0.03353927625772286,0.35127978817299205,0.0,0.0,0.897724987505797,0.0811863694278274,1.0432165262667401e-05,0.00322989187737917,75.55655456658789,34.7973623852569
